Year,Event,,,,,,,,,,,,,,,,,,,,,,,,
1937,World War II begins,,,,,,,,,,,,,,,,,,,,,,,,
1947,Indian independence act,,,,,,,,,,,,,,,,,,,,,,,,
1946,Formation of the constituent assembly,,,,,,,,,,,,,,,,,,,,,,,,
1940-41,Individual satyagraha,,,,,,,,,,,,,,,,,,,,,,,,
1920-22,Non-cooperation and Khilafat movement,,,,,,,,,,,,,,,,,,,,,,,,
1942,Quit India movement,,,,,,,,,,,,,,,,,,,,,,,,
1919,Jallianwala Massacre,,,,,,,,,,,,,,,,,,,,,,,,
1929,Civil disobedience movement,,,,,,,,,,,,,,,,,,,,,,,,
1929,Lahore session,,,,,,,,,,,,,,,,,,,,,,,,
1920-22,Chauri Chaura incident,,,,,,,,,,,,,,,,,,,,,,,,
1939-45,Congress ministries resign,,,,,,,,,,,,,,,,,,,,,,,,
